ticket_type,order_ref,shirt_size,school,checkin_first,checkin_last
California Hacker,LNHL,Male M         ,Foothill College,1478669644,1478926623
Berkeley Hacker [Waitlist],BWOH,Male M         ,"University of California, Berkeley",1478670815,1479006872
Berkeley Hacker [Waitlist],OSHA,Male L         ,"University of California, Berkeley",1478671191,1479001780
Out of State Hacker [Reimbursement],L0CI,Male M         ,Purdue University,1478671633,1478915185
Berkeley Hacker [Waitlist],LBR2,Male M         ,"University of California, Berkeley",1478671799,1478671887
Berkeley Hacker,1FBG,Male S         ,"University of California, Berkeley",1478672176,1478673123
Berkeley Hacker,GDF6,Male L         ,"University of California, Berkeley",1478672678,1479000317
California Hacker,AEQX,Male XL        ,Foothill college,1478673712,1478674112
Berkeley Hacker [Waitlist],8IHU,Male M         ,"University of California, Berkeley",1478674189,1478674345
Berkeley Hacker,XDJB,Male L         ,"University of California, Berkeley",1478676820,1478677081
Berkeley Hacker,RITR,Male XL        ,"University of California, Berkeley",1478677075,1478927730
California Hacker,R6TG,,,1478677196,1478677196
Berkeley Hacker [Waitlist],DI3K,Female S       ,"University of California, Berkeley",1478677320,1478678928
Berkeley Hacker [Waitlist],9HVO,Male M         ,"University of California, Berkeley",1478677940,1478677983
Berkeley Hacker,ODOD,Male S         ,"University of California, Berkeley",1478680854,1478923975
Berkeley Hacker,BFRE,Male M         ,"University of California, Berkeley",1478680939,1479007232
Berkeley Hacker,UZGB,Female S       ,"University of California, Berkeley",1478681159,1478929327
Berkeley Hacker,XAYA,Female S       ,"University of California, Berkeley",1478685491,1478931902
Berkeley Hacker,EEXV,Male L         ,"University of California, Berkeley",1478685776,1478685850
Berkeley Hacker,DVHO,Male M         ,"University of California, Berkeley",1478687493,1478924229
Berkeley Hacker,RDTA,Male M         ,"University of California, Berkeley",1478697735,1478697794
Sponsor Representative,PHIM,Male M         ,,1478710158,1479002866
Berkeley Hacker [Waitlist],7J0J,Male S         ,"University of California, Berkeley",1478713585,1478713668
Out of State Hacker [In SF],YDCZ,Male M         ,University of Waterloo,1478713641,1478920573
Sponsor Representative,HVIP,Male M         ,,1478714027,1478714067
Sponsor Representative,HVIP,Male M         ,,1478714027,1478918357
Sponsor Representative,HVIP,Male L         ,,1478714027,1478986835
Sponsor Representative,HVIP,Male M         ,,1478714027,1478714245
Sponsor Representative,HVIP,Male L         ,,1478714027,1478920276
Sponsor Representative,HVIP,Male L         ,,1478714027,1478714363
Sponsor Representative,HVIP,Male L         ,,1478714027,1478919206
Berkeley Hacker [Waitlist],XV1A,Male M         ,"University of California, Berkeley",1478714461,1478714547
Sponsor Representative,NU4U,Male L         ,,1478715638,1478918016
Berkeley Hacker [Waitlist],OALR,Male M         ,"University of California, Berkeley",1478716511,1478716699
Out of State Hacker [Reimbursement],QTSB,Male S         ,University of CU Boulder,1478717923,1478919983
Berkeley Hacker [Waitlist],DFDH,Male L         ,"University of California, Berkeley",1478719163,1478724517
Berkeley Hacker [Waitlist],DVZI,Male M         ,"University of California, Berkeley",1478719923,1478720028
Berkeley Hacker [Waitlist],IUU9,Male L         ,"University of California, Berkeley",1478721935,1478721993
Berkeley Hacker,LZWD,Male L         ,"University of California, Berkeley",1478722759,1478722901
Berkeley Hacker,KIRM,Male M         ,"University of California, Berkeley",1478723439,1478769978
Berkeley Hacker,YABC,Male L         ,"University of California, Berkeley",1478723723,1478924275
Sponsor Representative,RTXB,Male XL        ,,1478726134,1478726254
Sponsor Representative,ZIDM,Female M       ,,1478726182,1478726224
Sponsor Representative,IADJ,Female M       ,,1478726206,1478726227
Berkeley Hacker,LTH7,Male M         ,"University of California, Berkeley",1478726292,1478987655
Out of State Hacker [In SF],2SNQ,Female S       ,MCAD,1478726967,1478931467
Berkeley Hacker,QLWI,Male M         ,"University of California, Berkeley",1478727327,1478727456
Sponsor Representative,FTXU,Female S       ,,1478727404,1478919616
Berkeley Hacker [Waitlist],NRM9,Female S       ,"University of California, Berkeley",1478728970,1478816910
Sponsor Representative,CABV,Male M         ,,1478732853,1478986100
Sponsor Representative,CABV,Male M         ,,1478732853,1478916056
Sponsor Representative,CABV,Male L         ,,1478732853,1478974007
Sponsor Representative,CABV,Female S       ,,1478732853,1478922135
Sponsor Representative,CABV,Male M         ,,1478732853,1478971716
Sponsor Representative,CABV,Female M       ,,1478732853,1478970304
Sponsor Representative,CABV,Male L         ,,1478732853,1478987911
Sponsor Representative,CABV,Male L         ,,1478732853,1478986125
Sponsor Representative,CABV,Male M         ,,1478732853,1478919321
Sponsor Representative,CABV,,,1478732853,1478732853
Berkeley Hacker [Waitlist],WSBQ,Female XS      ,"University of California, Berkeley",1478735598,1478735705
Berkeley Hacker,LKWH,Male M         ,"University of California, Berkeley",1478736088,1478924271
Berkeley Hacker,GF6M,Male M         ,"University of California, Berkeley",1478738088,1478923756
Berkeley Hacker [Waitlist],DQSU,Male M         ,"University of California, Berkeley",1478741172,1478741412
Sponsor Representative,IBDW,Male S         ,,1478741916,1478918136
Berkeley Hacker [Waitlist],JDUP,Male M         ,"University of California, Berkeley",1478742057,1478742298
Berkeley Hacker [Waitlist],BEQ0,Male L         ,"University of California, Berkeley",1478742937,1479006372
Sponsor Representative,Q2EU,Female M       ,,1478743556,1478743577
Sponsor Representative,Q2EU,Male M         ,,1478743556,1478916441
Sponsor Representative,Q2EU,Male XL        ,,1478743556,1478743870
Sponsor Representative,Q2EU,Male XL        ,,1478743556,1478915570
Sponsor Representative,Q2EU,Male XL        ,,1478743556,1478916961
Sponsor Representative,Q2EU,Female M       ,,1478743556,1478916956
Sponsor Representative,Q2EU,,,1478743556,1478745109
Berkeley Hacker,N0DC,Female S       ,"University of California, Berkeley",1478743995,1478744161
Berkeley Hacker,OQBY,Male M         ,"University of California, Berkeley",1478744065,1478744142
Berkeley Hacker,SRXY,Male M         ,"University of California, Berkeley",1478744306,1478744395
Berkeley Hacker [Waitlist],ESTQ,Male L         ,"University of California, Berkeley",1478744745,1478744797
Berkeley Hacker [Waitlist],ITNJ,Male XL        ,"University of California, Berkeley",1478744904,1478745022
Berkeley Hacker [Waitlist],CQFW,Male M         ,"University of California, Berkeley",1478745087,1478932363
Berkeley Hacker [Waitlist],L3IZ,Male M         ,"University of California, Berkeley",1478745107,1478932363
Berkeley Hacker [Waitlist],IJBA,Male M         ,"University of California, Berkeley",1478745140,1478932424
Berkeley Hacker [Waitlist],ZO1V,Male M         ,"University of California, Berkeley",1478745188,1478932408
Berkeley Hacker [Waitlist],N25Q,Male M         ,"University of California, Berkeley",1478745333,1478745412
Berkeley Hacker [Waitlist],NFXG,Male M         ,"University of California, Berkeley",1478745358,1478745422
Berkeley Hacker,NDVI,Male L         ,"University of California, Berkeley",1478746158,1478928407
Berkeley Hacker,D9TX,Male M         ,"University of California, Berkeley",1478747253,1478747340
Berkeley Hacker [Waitlist],EURL,Male S         ,"University of California, Berkeley",1478748046,1478972546
Berkeley Hacker [Waitlist],JFLJ,Male M         ,"University of California, Berkeley",1478749268,1478749699
Berkeley Hacker [Waitlist],P9DQ,Male M         ,"University of California, Berkeley",1478750414,1478750453
